127.0.0.1 - - [14/Aug/2025:03:38:18 +0000] "GET /info.php HTTP/1.1" 200 112773 "-" "curl/8.12.1"
163.22.17.70 - - [14/Aug/2025:04:14:26 +0000] "GET /en/users/login HTTP/1.1" 200 10020 "http://localhost:8080/en" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:26 +0000] "GET /debug-kit/toolbar/567e7741-ade6-4532-9318-f36b30afbce2 HTTP/1.1" 200 6056 "http://localhost:8080/en/users/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:37 +0000] "POST /en/users/login?q=/en/users/login& HTTP/1.1" 302 5 "http://localhost:8080/en/users/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:37 +0000] "GET /admin/articles HTTP/1.1" 200 57433 "http://localhost:8080/en/users/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:37 +0000] "GET /admin_theme/css/base.css HTTP/1.1" 200 1452 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:38 +0000] "GET /admin_theme/css/trumbowyg.css HTTP/1.1" 200 2116 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:38 +0000] "GET /admin_theme/css/theme.css HTTP/1.1" 200 3754 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:38 +0000] "GET /admin_theme/css/admin-layout.css HTTP/1.1" 200 11006 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:38 +0000] "GET /img/willow-icon.png HTTP/1.1" 200 138361 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
163.22.17.70 - - [14/Aug/2025:04:14:38 +0000] "GET /admin_theme/js/image-preview.js HTTP/1.1" 200 354 "http://localhost:8080/admin/articles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"
